[Performance Sweep]
Speed (m/s),Flight Time (min),Range (km),Power Fwd (W),Power Hov (W),Thrust Fwd (N),Thrust Hov (N),Disk Loading (N/m²),Hover Wind Resistance (m/s),Prop Solidity (σ)
9.25,27.248072773346816,15.122680389207485,1159.4263233257839,1198.7704318921765,161.98489058150656,168.6369892565269,82.50120433822056,48.64055870336398,0.1400563499208679
9.3375,27.3496071012057,15.322617378450492,1154.779462041562,1191.7825843955152,161.98948998857267,168.76571393908935,82.50120433822056,48.64055870336398,0.1400563499208679
9.425,27.448861579213386,15.522331223045173,1150.270165571933,1184.8704476370785,161.9942203936696,168.8956505554486,82.50120433822056,48.64055870336398,0.1400563499208679
9.5125,27.545762763224666,15.721744097110477,1145.8991288426378,1178.0342462334743,161.99908425428978,169.02679910560468,82.50120433822056,48.64055870336398,0.1400563499208679
9.6,27.64023908521346,15.92077771308295,1141.6669765983097,1171.2741374419757,162.00408405033238,169.1591595895576,82.50120433822056,48.64055870336398,0.1400563499208679
9.6875,27.732220922106634,16.119353410974483,1137.5742671668786,1164.5902144295908,162.00922228407924,169.2927320073073,82.50120433822056,48.64055870336398,0.1400563499208679
9.775,27.821640661524675,16.317392247984223,1133.621496144163,1157.9825094931666,162.01450148017028,169.42751635885384,82.50120433822056,48.64055870336398,0.1400563499208679
9.8625,27.908432767651004,16.514815090257482,1129.8090998490743,1151.4509970689583,162.01992418557822,169.5635126441972,82.50120433822056,48.64055870336398,0.1400563499208679
9.95,27.99253382813095,16.711542695394176,1126.1374593793732,1144.995597429499,162.0254929695826,169.70072086333738,82.50120433822056,48.64055870336398,0.1400563499208679
10.0375,28.073882628919723,16.9074958132669,1122.6069032026385,1138.6161788363606,162.03121042374286,169.8391410162744,82.50120433822056,48.64055870336398,0.1400563499208679
10.125,28.15242019550313,17.10259526876815,1119.2177109823413,1132.3125610618342,162.03707916187133,169.97877310300822,82.50120433822056,48.64055870336398,0.1400563499208679
10.2125,28.228089845902154,17.296762053076545,1115.9701166376365,1126.084518121693,162.04310182000478,170.1196171235389,82.50120433822056,48.64055870336398,0.1400563499208679
